"","x"
"636","U2AF1"
"637","XRCC2"
"638","YES1"
"639","ZNF24"
"640","PAX8"
"641","CXCR4"
"642","DEK"
"643","NR4A3"
"644","BRD3"
"645","TCL1A"
"646","RBM10"
"647","HIST1H2AC"
"648","CUL4A"
"649","PIK3R3"
"650","MKNK1"
"651","MAGED1"
"652","TFG"
"653","YAP1"
"654","ARID3B"
"655","FRS2"
"656","MALT1"
"657","FAF1"
"658","U2AF2"
"659","HEY1"
"660","SUZ12"
"661","TFPT"
"662","CRBN"
"663","ERRFI1"
"664","SDHAF2"
"665","SHQ1"
"666","RRAGC"
"667","COP1"
"668","FIP1L1"
"669","SETDB2"
"670","TRAF7"
"671","KLHL6"
"672","SNX29"
"673","MSI2"
"674","ARID3C"
"675","TTL"
"676","P2RY8"
"677","ACVR2A"
"678","RHOH"
"679","CD36"
"680","CDX2"
"681","CHEK1"
"682","CREB1"
"683","DUSP2"
"684","DUSP4"
"685","DUSP9"
"686","EIF1AX"
"687","EPOR"
"688","ERCC5"
"689","FANCE"
"690","FGF6"
"691","FGFR1"
"692","FHIT"
"693","GATA1"
"694","HIST1H1D"
"695","HDAC1"
"696","MNX1"
"697","HOXA3"
"698","HOXA9"
"699","JUN"
"700","KRAS"
"701","LASP1"
"702","MDM4"
"703","NFKBIA"
"704","NRAS"
"705","FURIN"
"706","PBX1"
"707","PDPK1"
"708","POU5F1"
"709","PPARG"
"710","PPP2R2A"
"711","PPP6C"
"712","MAPK3"
"713","RAD51B"
"714","RHEB"
"715","RPL10"
"716","SDHA"
"717","SFPQ"
"718","SRSF3"
"719","SIX1"
"720","SRC"
"721","TCF7L2"
"722","TOP1"
"723","TRAF2"
"724","TRAF5"
"725","VEGFA"
"726","XBP1"
"727","XPC"
"728","HIST1H2BC"
"729","HIST1H2AG"
"730","S1PR2"
"731","TCL1B"
"732","CTR9"
"733","BCL2L11"
"734","NDRG1"
"735","GNA13"
"736","CCT6B"
"737","FGFR1OP"
"738","WIF1"
"739","ICK"
"740","ACSL6"
"741","ICOSLG"
"742","CBLC"
"743","WWTR1"
"744","SND1"
"745","BABAM1"
"746","DCUN1D1"
"747","ETNK1"
"748","TMEM127"
"749","TMEM30A"
"750","ACKR3"
"751","CDC73"
"752","PHF6"
"753","CANT1"
"754","KMT5A"
"755","H3F3C"
